Sonderfall)";Energieträger;"Spezifizierung ""Mehrere Energieträger"" und ""Sonstige Energieträger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energieträger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energieträger (Zuordnung zu einem Hauptenergieträger bei Mehreren Energieträgern)";"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
BNA0887e;Windpark Altes Lager GmbH & Co. KG;Windpark Altes Lager;14913;Altes Lager;;Brandenburg;;2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;nein;36,0;UW Schönewalde;380;50Hertz Transmission GmbH
BNA0023;;;16775;Altlüdersdorf;;Brandenburg;;2003;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;25,7;;HS;E.DIS AG
BNA1679;;PV Wertachtal-Augsburg;86854;Amberg;Gemarkung Amberg, Flurstück 1550;Bayern;;2015;In Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;10,0;UW Gennach;MS;LEW Verteilnetz GmbH
BNA0024;TIWAG-Tiroler Wasserkraft AG;KW Amlach;A-9900;Amlach;;Österreich;Amlach;1989;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;60,0;UW Amlach;110;TIWAG-Netz AG/APG bzw. Tennet
BNA1291;IHKW Industrieheizkraftwerk Andernach GmbH;IHKW Andernach;56626;Andernach;Koblenzer Straße 141;Rheinland-Pfalz;;2009;in Betrieb;Abfall;;;Abfall;Nein;Ja;12,5;;20;ThyssenKrupp AG
BNA0025;Suiker Unie GmbH & Co. KG;Kesselhaus Zuckerfabrik;17389;Anklam;Bluthsluster Str. 24;Mecklenburg-Vorpommern;;1993;in Betrieb;Mehrere Energieträger;Erdgas;Erdgas;Erdgas;Nein;Ja;15,1;DE00100017389AS000000000001237294;20;E.DIS AG
BNA1101;ENERTRAG Aktiengesellschaft;ÜST Anklam;17389;Anklam;Demminer Landstrasse;Mecklenburg-Vorpommern;ÜST Anklam;1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;11,6;ÜST Anklam;20;E.DIS AG
BNA1458;Buchmann GmbH;;76855;Annweiler;Wasgaustraße 5;Rheinland-Pfalz;;1975;in Betrieb;Mehrere Energieträger;Erdgas;Schweröl;Erdgas;Nein;Ja;28,0;;20;Pfalzwerke Netz AG
BNA0026;Windpark Fehnland GmbH & Co. KG Renditefonds;;26689;Apen;;Niedersachsen;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,8;;HS/MS;EWE NETZ GmbH
BNA0027;Zellstoff Stendal GmbH;Zellstoff Stendal GmbH;39596;Arneburg;Goldbecker Straße 1;Sachsen-Anhalt;-;2004;in Betrieb;Biomasse;Ablauge aus Zellstoffproduktion, Rinde/Holzreste;Heinzoel, Erdgas;Biomasse;Ja;ja;138,9;"DE0075603959600000E00000000013559
DE0075603959600000E00000000013560
DE0075603959600000E00000000013561";30;Infrastrukturbetrieb der Stadt Arneburg
BNA0028a;SachsenFonds GmbH & Co. Windpark I KG;;39596;Arneburg;;Sachsen-Anhalt;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;31,5;UW Arneburg;20;Avacon AG
BNA0028b;;;39596;Arneburg;;Sachsen-Anhalt;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;85,5;;MS;Avacon AG
BNA1331;Reno De Medici Arnsberg GmbH;Reno De Medici;59821;Arnsberg;Hellefelderstr. 51;Nordrhein-Westfalen;HD - Kraftwerk;1923;in Betrieb;Steinkohle;;;Steinkohle;Nein;ja;19,0;DE00018144139V592849;30;Westnetz GmbH
BNA0029;ESK Solarenergie GmbH & Co. KG;Solarpark Petzenbach;94424;Arnstorf;;Bayern;;2010;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;10,0;UW Arnstorf;21;Bayernwerk AG
BNA0030;e.disnatur Erneuerbare Energien GmbH;;06556;Artern;;Thüringen;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,0;;HS/MS;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1477;PROKON Regenerative Energien GmbH;WP Koßdorf;04886;Arzberg;Elbstraße 1;Sachsen;;2004;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;16,5;UW Arzberg;110;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1732;;Windpark Korbersdorf-Seußen;95659;Arzberg;FlSt. 519, Gemarkung Korbersdorf-Seußen;Bayern;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,0;;;
BNA1337b;DS Smith Paper Deutschland GmbH;Blockheizkraftwerk 1;63741;Aschaffenburg;Weichertstr. 7;Bayern;Blockheizkraftwerk 1;2005;in Betrieb;Biomasse;Biogas;;Biomasse;Ja;Ja;1,1;;20;Aschaffenburger Versorgungs GmbH 
BNA1337c;DS Smith Paper Deutschland GmbH;Blockheizkraftwerk 2;63741;Aschaffenburg;Weichertstr. 7;Bayern;Blockheizkraftwerk 2;2010;in Betrieb;Biomasse;Biogas;;Biomasse;Ja;Ja;0,8;;20;Aschaffenburger Versorgungs GmbH 
BNA1337e;DS Smith Paper Deutschland GmbH;GuD-Anlage;63741;Aschaffenburg;Weichertstr. 7;Bayern;GuD-Anlage;2013;in Betrieb;Mehrere Energieträger;Erdgas;Biogas;Erdgas;Nein;Ja;47,0;;20;Aschaffenburger Versorgungs GmbH 
BNA1337d;DS Smith Paper Deutschland GmbH;Notstromdiesel;63741;Aschaffenburg;Weichertstr. 7;Bayern;Notstromdiesel;1991;in Betrieb;Mineralölprodukte;Diesel;;Mineralölprodukte;Nein;;0,5;;20;Aschaffenburger Versorgungs GmbH 
BNA1102;Bigge Energie GmbH & Co. KG;Bigge;57439;Attendorn;In der Stesse 14;Nordrhein-Westfalen;;1965;in Betrieb;Speicherwasser (ohne Pumpspeicher);;;Speicherwasser (ohne Pumpspeicher);Nein;Nein;15,0;Biggekraftwerk;10;BIGGE ENERGIE GmbH & Co. KG
BNA1295;AVA Abfallverwertung Augsburg GmbH;AVA GmbH;86167;Augsburg;Am Mittleren Moos 60;Bayern;AHKW;1993;in Betrieb;Abfall;;;Abfall;Nein;ja;10,0;V0 BBC06;10;Netze Augsburg GmbH
BNA1103;UPM GmbH Werk Augsburg;UPM Augsburg;86153;Augsburg;Georg-Heindl-Strasse 4;Bayern;Dampfturbine 3;1966;Vorläufig Stillgelegt (mit StA);Erdgas;;;Erdgas;Nein;Ja;29,0;;10;Stadtwerke Augsburg
BNA0033;Stadtwerke Augsburg Energie GmbH;Gasturbine;86165;Augsburg ;Beim Grenzgraben 10;Bayern;GT;2004;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;30,7;Station 1000;110;Netze Augsburg GmbH
BNA1104;Stadtwerke Augsburg Energie GmbH;Heizkraftwerk;86152;Augsburg ;Franziskanergasse 9;Bayern;T2;1976;Netzreserve;Mehrere Energieträger;Erdgas;Heizöl;Erdgas;Nein;Ja;20,4;Station 316/318;10;Netze Augsburg GmbH
BNA0034;Bürgerwindpark Königsmoor GmbH & Co KG;;26607;Aurich;;Niedersachsen;;2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,5;;HS/MS;EWE NETZ GmbH
BNA0035;;;26607;Aurich;;Niedersachsen;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;14,4;;HS/MS;EWE NETZ GmbH
BNA0036;;;39393;Ausleben;;Sachsen-Anhalt;;1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;15,9;;MS;Avacon AG
BNA0037;;;39393;Ausleben;;Sachsen-Anhalt;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,0;;MS;Avacon AG
BNA0038;;;39393;Ausleben;;Sachsen-Anhalt;;1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,0;;MS;Avacon AG
BNA1825;Gode Wind 1 Offshore Wind Farm GmbH & Co. OHG;Gode Wind 1;;Nordsee;;AWZ;;2016;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;344,5;DolWin Beta;155;TenneT TSO GmbH 
BNA1826;Gode Wind 2 Offshore Wind Farm P/S GmbH & Co. OHG;Gode Wind 2;;Nordsee;;AWZ;;2016;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;263,1;DolWin Beta;155;TenneT TSO GmbH 
BNA1563;RWE Vertrieb AG;OWP Nordsee Ost;;Nordsee;AWZ, 33 km nördlich Helgoland;AWZ;;2014 - 2015;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;295,2;;HS/MS;TenneT TSO GmbH
BNA1350;;;06388;Baasdorf;Feldstraße 5;Sachsen-Anhalt;;2010;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;12,7;;;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1710;;Windpark Lahn-Dill-Bergland-Mitte;35080;Bad Endbach;Gemarkung Günterod, Flur 28, Flurstück 465/329;Hessen;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;21,4;;;
BNA1610;;Windpark Hilsberg;35080;Bad Endbach  - Bottenhorn;;Hessen;;2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;15,3;;MS;EnergieNetz Mitte GmbH
BNA0042;Innwerk AG;Egglfing;94072;Bad Füssing;Am Innwerk 13;Bayern;Egglfing;1944;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;40,4;Schaltanlage vor Ort;110;Bayernwerk AG
BNA1593;;Windpark Bad Hersfeld Wehneberg;36251;Bad Hersfeld;;Hessen;;2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;15,2;;MS;EnergieNetz Mitte GmbH
BNA1507;"Michelin Reifenwerke AG & Co. KGaA 
Standort Bad Kreuznach";;55543;Bad Kreuznach;Michelinstr. 1;Rheinland-Pfalz;;2006;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;10,7;;20;Westnetz GmbH
BNA0043;Erneuerbare Energien Verwaltungs GmbH Dresden;;99947;Bad Langensalza;;Thüringen;;1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;35,8;UW Bad Langensalza Trafo 104;HS;TEN Thüringer Energienetze GmbH
BNA0044a;ENERCON Windpark GmbH & Co. Wiegleben KG;Windpark Wiegleben;99947;Bad Langensalza;;Thüringen;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;nein;9,0;;20;TEN Thüringer Energienetze GmbH
