06-08-1741292,BNA0020,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Altbach/Deizisau,Baden-Württemberg,1985,in Betrieb,Steinkohle,Ja,433.0
,BNA0245b,Statkraft Markets GmbH,Emden Gas,Niedersachsen,1973,Vorläufig Stillgelegt (ohne StA),Erdgas,Nein,433.0
,BNA0574b,Statkraft Markets GmbH,Landesbergen Gas,Niedersachsen,1973,Vorläufig Stillgelegt (mit StA),Erdgas,Nein,431.0
,BNA0548b,Statkraft Markets GmbH,Knapsack Gas II,Nordrhein-Westfalen,2013,in Betrieb,Erdgas,Nein,430.0
06-08-2948214,BNA0645,Grosskraftwerk Mannheim AG,GKM ,Baden-Württemberg,1982,in Betrieb,Steinkohle,Ja,425.0
,BNA0411,Trianel Gaskraftwerk Hamm GmbH & Co. KG ,Trianel Gaskraftwerk ,Nordrhein-Westfalen,2008,in Betrieb,Erdgas,Nein,420.9
,BNA0410,Trianel Gaskraftwerk Hamm GmbH & Co. KG ,Trianel Gaskraftwerk ,Nordrhein-Westfalen,2008,in Betrieb,Erdgas,Nein,417.1
,BNA0442,Mark-E AG / Statkraft Markets GmbH,Cuno Heizkraftwerk Herdecke,Nordrhein-Westfalen,2007,in Betrieb,Erdgas,Nein,417.0
,BNA0993,Uniper Kraftwerke GmbH ,Irsching,Bayern,1974,Gesetzlich an Stilllegung gehindert,Erdgas,Nein,415.0
,BNA0545,RheinEnergie AG,HKW Niehl 2,Nordrhein-Westfalen,2005,in Betrieb,Erdgas,Ja,413.0
,BNA0615,BASF SE,Kraftwerk Süd,Rheinland-Pfalz,1997,in Betrieb,Erdgas,Ja,390.0
,BNA0744,Uniper Kraftwerke GmbH ,Franken 1,Bayern,1973,in Betrieb,Erdgas,Nein,383.0
06-05-100-0365906,BNA0216a,Steag GmbH,KW Walsum,Nordrhein-Westfalen,1988,in Betrieb,Steinkohle,Ja,370.0
,BNA0605,RWE Generation SE,Emsland,Niedersachsen,1974,in Betrieb,Erdgas,Ja,359.0
,BNA0604,RWE Generation SE,Emsland,Niedersachsen,1973,in Betrieb,Erdgas,Ja,359.0
,BNA1045,RWE Generation SE,Gersteinwerk,Nordrhein-Westfalen,1973,Vorläufig Stillgelegt (mit StA),Erdgas,Nein,355.0
,BNA1043,RWE Generation SE,Gersteinwerk,Nordrhein-Westfalen,1973,Vorläufig Stillgelegt (mit StA),Erdgas,Nein,355.0
,BNA1044,RWE Generation SE,Gersteinwerk,Nordrhein-Westfalen,1973,Vorläufig Stillgelegt (mit StA),Erdgas,Nein,355.0
,BNA0514,EnBW Energie Baden-Württemberg AG,Rheinhafen-Dampfkraftwerk,Baden-Württemberg,1998,in Betrieb,Erdgas,Nein,353.0
,BNA0439,Helmstedter Revier GmbH,Buschhaus,Niedersachsen,1985,Sicherheitsbereitschaft,Braunkohle,Nein,352.0
06-04-11/2039669/2/0,BNA0147,ENGIE Deutschland AG,Farge,Bremen,1969,in Betrieb,Steinkohle,Nein,350.0
06-05-500-0342658,BNA0331,Uniper Kraftwerke GmbH ,Scholven,Nordrhein-Westfalen,1969,in Betrieb,Steinkohle,Ja,345.0
06-05-500-0342658,BNA0332,Uniper Kraftwerke GmbH ,Scholven,Nordrhein-Westfalen,1968,in Betrieb,Steinkohle,Ja,345.0
06-05-500-0342658,BNA0333,Uniper Kraftwerke GmbH ,Scholven,Nordrhein-Westfalen,1970,Endgültig Stillgelegt 2014 (mit StA),Steinkohle,Ja,345.0
06-05-500-0342658,BNA0334,Uniper Kraftwerke GmbH ,Scholven,Nordrhein-Westfalen,1971,Endgültig Stillgelegt 2014 (mit StA),Steinkohle,Ja,345.0
,BNA0203,Uniper Kraftwerke GmbH ,Knepper,Nordrhein-Westfalen,1971,Endgültig Stillgelegt 2014 (mit StA),Steinkohle,Ja,345.0
06-08-1741292,BNA0019,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Altbach/Deizisau,Baden-Württemberg,1997,in Betrieb,Steinkohle,Ja,336.0
,BNA0811,Uniper Kraftwerke GmbH ,Kraftwerk Veltheim,Nordrhein-Westfalen,1975,Endgültig Stillgelegt 2015 (mit StA),Erdgas,Nein,335.0
,BNA0627,Kraftwerke Mainz-Wiesbaden AG,Kraftwerk Mainz,Rheinland-Pfalz,1977,Gesetzlich an Stilllegung gehindert,Erdgas,Ja,335.0
06-09-100-0088-0001,BNA0969b,SWM Services GmbH,Nord 2,Bayern,1991,in Betrieb,Steinkohle,Ja,332.7
06-05-900-0884101,BNA0619,Steag GmbH,KW Lünen,Nordrhein-Westfalen,1969,in Betrieb,Steinkohle,Ja,324.0
