plantid,sseid
06-08-1020129,SEE935086224739
06-05-700-0020290,SEE958518628752
06-05-100-0081105,SEE992750539261
03-08-08271405180,SEE945740636167
06-08-1020129,SEE968847258773
661-67,SEE949722134498
03-09-09281337040,SEE927766801477
06-05-300-0877384,SEE904421343152
03-08-08271405180,SEE902686859227
661-67,SEE952807166543
06-05-300-0326774,SEE967605837250
06-05-100-9021016,SEE916683222854
16-62-09401231000,SEE970114818481
06-05-100-0018507,SEE926239714443
06-05-100-9021016,SEE988421065542
06-05-100-9021016,SEE994134561226
06-08-2142201,SEE937157344278
06-05-100-9021016,SEE911850657996
06-10-0075248,BNA0253
06-08-1574906,SEE949085992346
661-67,SEE956631893736
661-16,SEE963192915654
06-05-300-0215520,SEE915108754215
06-90031210632,SEE913280112274
06-05-800-0197054,SEE905721866655
06-05-700-0008683,SEE906834978235
06-90032200632,SEE925720506642
06-09-671-0140-0001,SEE985117126280
03-10-10100029340,SEE974018310478
06-05-900-0884101,BNA0618
06-05-300-0181417,SEE986936308987
06-05-300-0181417,SEE975343602986
06-05-300-0181417,SEE975369197862
18037,SEE927630371594
06-08-1479296,SEE901344829220
06-05-100-0888309,SEE900341307519
06-05-300-9046797,SEE956973616802
06-05-900-0001413,SEE993385162510
06-05-900-0001413,SEE909339504022
06-05-900-0001413,SEE900040609433
06-09-676-2101-0002,SEE919296928137
06-05-300-9046797,SEE976489828827
664-07,SEE906830618081
664-02,SEE999977738880
07-05-8030815,SEE957723162266
06-09-661-0020-0001,BNA1337a
06-09-100-0001-0002,SEE915432109163
06-05-900-0865327,SEE978654614532
16-72-73595430000,SEE988601422752
16-72-73595430000,SEE936473203580
16-72-73595430000,SEE912583238223
16-72-73595430000,SEE969004747543
16-72-73595430000,SEE951160693116
06-08-1383701,SEE936668903264
14-70-52316707024,SEE939899660715
16-30-30400102003,SEE908964165929
06-05-500-0875785,SEE994351082467
06-05-500-0875785,SEE926313104276
06-05-500-0875785,SEE970820981745
06-05-500-0875785,SEE920801236685
06-05-500-0875785,SEE920575296687
06-05-500-0875785,SEE907282834715
13770,SEE998623498277
13770,SEE992864019192
01-50-01000004838,SEE949216632202
14-70-52316707024,SEE965660903200
14-70-52316707024,SEE985036646654
14-70-52316707024,SEE930647914081
14-70-52316707024,SEE962395118756
14-70-52316707024,SEE924562445072
14-70-52316707024,SEE923793340132
12-40520430000,SEE911129038174
03-01-01241117210,SEE984196895179
03-01-01241117210,SEE943210695102
06-08-3042693,SEE977368296324
06-08-3042693,SEE956308510836
06-08-3042693,SEE963197749315
06-08-3042693,SEE914740925915
07-04-6021280,SEE951582148140
07-04-6021280,SEE964290104919
07-04-6021280,SEE945569399960
06-08-1371304,SEE974615285285
06-08-1371304,SEE972346658903
06-90031210632,SEE907064154956
06-90031210632,SEE906462907775
06-05-900-0125939,SEE995184160995
06-05-900-0125939,SEE986561991462
06-05-900-0125939,SEE907892165506
07-01-126351,SEE999756197518
